# File: A63.rsrc_curves.csv
# Title: Carbon storage resource supply curve points
# Comments: From Beerling et al (2021) source data.  https://doi.org/10.1038/s41586-020-2448-9 Median 2 C scenario. Regions not included in the Beerling study were scaled from those that were using total removal potential data from Streffler et al 2018
# Units: available: MtC cost: $1975/kg
# Column types: ccccnn
# ----------
resource,subresource,grade,region,available,cost
inorganic-surface-storage,inorganic-surface-storage,Grade 1,South Asia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,South Asia,0.457853975,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,South Asia,22.24954773,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,South Asia,42.75699123,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,South Asia,45.87886013,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,South Asia,47.19145942,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,South Asia,47.74073946,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,South Korea,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,South Korea,0.001239414,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,South Korea,0.060229667,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,South Korea,0.115743447,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,South Korea,0.124194366,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,South Korea,0.127747581,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,South Korea,0.129234485,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Southeast Asia,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Southeast Asia,1.405250284,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Southeast Asia,68.28854829,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Southeast Asia,131.2302118,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Southeast Asia,140.8118849,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Southeast Asia,144.8405286,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Southeast Asia,146.5263848,0.389528757
inorganic-surface-storage,inorganic-surface-storage,Grade 1,Taiwan,0,0.038564679
inorganic-surface-storage,inorganic-surface-storage,Grade 2,Taiwan,0.275491211,0.039497979
inorganic-surface-storage,inorganic-surface-storage,Grade 3,Taiwan,0.390797763,0.097411453
inorganic-surface-storage,inorganic-surface-storage,Grade 4,Taiwan,0.501431882,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,Taiwan,0.606625767,0.176236105
inorganic-surface-storage,inorganic-surface-storage,Grade 6,Taiwan,0.704489218,0.194227826
inorganic-surface-storage,inorganic-surface-storage,Grade 7,Taiwan,0.792453829,0.389528757
